"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"ON FOOT","OUTBOUND","1261480","1891881","945940.5","0","0","2021"
"ON FOOT","OUTBOUND","1232443","1958577","979288.5","0","0","2020"
"ON FOOT","OUTBOUND","1936711","3017253","1508626.5","0","0","2019"
"ON FOOT","OUTBOUND","1934592","2870717","1435358.5","0","0","2018"
"ON FOOT","TOTAL","20141589","23138694","21340609.5","0","0","2022"
"ON FOOT","TOTAL","21226288","25381585","23484858.5","0","0","2021"
"ON FOOT","TOTAL","20182908","24943848","22977376","0","0","2020"
"ON FOOT","TOTAL","23800403","22603204","19579755.5","0","0","2019"
"ON FOOT","TOTAL","22991000","21625609","18768910","0","0","2018"
"RAIL","IN-BOUNDARY","1063038","9249825","9249825","0","0","2019"
"RAIL","IN-BOUNDARY","764712","6107456","6107456","0","0","2018"
"RAIL","INBOUND","2673938","51573682","25786841","0","0","2022"
"RAIL","INBOUND","1914358","36095673","18047836.5","0","0","2021"
"RAIL","INBOUND","1868946","34098356","17049178","0","0","2020"
"RAIL","INBOUND","5049767","113541616","56770808","0","0","2019"
"RAIL","INBOUND","5141613","106228345","53114172.5","0","0","2018"
"RAIL","OUTBOUND","2677042","51866421","25933210.5","0","0","2022"
"RAIL","OUTBOUND","1912300","36022585","18011292.5","0","0","2021"
"RAIL","OUTBOUND","1883283","34052276","17026138","0","0","2020"
"RAIL","OUTBOUND","5176269","115914028","57957014","0","0","2019"
"RAIL","OUTBOUND","5473475","113931070","56965535","0","0","2018"
"RAIL","TOTAL","5350980","103440103","51720051.5","0","0","2022"
"RAIL","TOTAL","3826658","72118258","36059129","0","0","2021"
"RAIL","TOTAL","3752229","68150632","34075316","0","0","2020"
"RAIL","TOTAL","11289074","238705469","123977647","0","0","2019"
"RAIL","TOTAL","11379800","226266871","116187163.5","0","0","2018"
